,Isolate,ugMBCmean,mediavolmean
1,24YEA27,7.276032,5.931428571
2,Aalpinus,3.4136064,5.882857143
3,AN5,7.15536,5.966964286
4,AN6A,6.743007776,5.979020979
5,BS19,5.209642667,5.719444444
6,BS40,5.166618947,5.881578947
7,BS60,3.8016,5.882857143
8,BS71,5.2918656,5.905
9,Bsubtilis,7.5936,5.75
10,Cpinensis,4.66816,5.80952381
11,EB95,5.558501053,5.894736842
12,Ecoli,7.452928,5.916666667
13,GAS106B,6.182710751,5.912138728
14,GAS188,4.813707907,5.938953488
15,GAS231,1.0752,5
16,GAS232,7.870640262,5.890163934
17,GAS242,2.1504,5
18,GAS332,8.280741266,5.949367089
19,GAS368,2.709504,6
20,GAS474,5.4432,6
21,GAS478,2.688,5
22,GAS479,7.364393514,5.925675676
23,GAS479_Beta,6.075661964,5.761818182
24,GAS525,4.467638237,5.960169492
25,GAS86,6.044760615,5.874358974
26,GAS95,0.561792,5.225
27,GP183,6.675053115,5.942622951
28,GP187,5.773541053,5.868421053
29,MT12,5.273673143,5.959863946
30,MT45,7.162206316,5.928571429
31,Njensenii,4.84288,5.758333333