name,soil,BGE,rate,Dads
alanine,Mollisols,0.42111345415887413,0.07598214859833258,0.009105299954421213
glucose,Mollisols,0.4774946157864445,0.024179179813216434,0.01300457032034222
salicylic acid,Mollisols,NaN,0.006368396272327413,0.15830016974545413
sinapyl alcohol,Mollisols,NaN,0.007196780257264599,0.9830709633950532
oxalic acid,Mollisols,NaN,0.006585253452834564,0.3148626091705087
alanine,Mollisols,0.4197945301079167,0.16308624091093302,0.004278090072480619
glucose,Mollisols,0.4720591093406224,0.09850420375051024,0.0031717624735899982
salicylic acid,Mollisols,0.3155165309131084,0.024588369930237552,0.13975404821218296
sinapyl alcohol,Mollisols,0.3260824205200298,0.024588865920628877,0.8698478239008329
oxalic acid,Mollisols,0.2969797549121437,0.0245877180820558,0.23405026873491963
alanine,Mollisols,0.4701185702274955,0.14672228135488938,0.00492534808634423
glucose,Mollisols,0.5448453704232544,0.056081073678462684,0.005750749526055563
salicylic acid,Mollisols,0.3279574499380331,0.005142683647648613,0.1582993927695493
sinapyl alcohol,Mollisols,0.3403152748137366,0.005537849250923052,0.9830702154007542
oxalic acid,Mollisols,0.3068782891026694,0.005230001934567732,0.31485463732376334
alanine,Mollisols,0.4917028186736818,0.11564751720182044,0.00629833956631487
glucose,Mollisols,0.5772410270682355,0.022328800880179432,0.014683443011458089
salicylic acid,Mollisols,0.43807450412641835,0.03964822612880321,0.11081372579454224
sinapyl alcohol,Mollisols,0.45717520637463394,0.03964771804171374,0.553370155405112
oxalic acid,Mollisols,0.4050329814578678,0.039645059767822954,0.14963272874972222
alanine,Mollisols,0.47450101624662483,0.10542900436220597,0.006844092865079278
glucose,Mollisols,0.5560324030550987,0.030736035351739112,0.010533216454745266
salicylic acid,Mollisols,0.4130720717948203,0.030283104535191924,0.12621070299087422
sinapyl alcohol,Mollisols,0.43076919465274466,0.030281825094204736,0.7212760676427465
oxalic acid,Mollisols,0.38193403343460886,0.030279938347055002,0.19478577882118292
alanine,Mollisols,0.4915799634100971,0.1330856257076511,0.005468882110701423
glucose,Mollisols,0.5773005461604324,0.026627072504496616,0.012274941796550419
salicylic acid,Mollisols,0.4364969336731005,0.03552271658417986,0.11675363389117027
sinapyl alcohol,Mollisols,0.45536237538862934,0.035522507604585106,0.6178986225888965
oxalic acid,Mollisols,0.40334623480094167,0.03552215699104701,0.16704495614141454
alanine,Mollisols,0.42434209401261613,0.08909589993421378,0.00778627280126092
glucose,Mollisols,0.49044698761922023,0.09333580261884042,0.0033615661240657233
salicylic acid,Mollisols,0.32890151080266017,0.015863322940150457,0.15812159739789627
sinapyl alcohol,Mollisols,0.34000655496176335,0.01586327215924198,0.9829075822600553
oxalic acid,Mollisols,0.3080708360457989,0.01586316581120065,0.31292591806963715
alanine,Mollisols,0.45809919342110583,0.06526941232213596,0.010946075916917958
glucose,Mollisols,0.5483828657309437,0.06979734811978754,0.004586763182035047
salicylic acid,Mollisols,0.400035889905362,0.03125945179726626,0.12387413476729425
sinapyl alcohol,Mollisols,0.41739807426494135,0.03126147785143384,0.6961908554232896
oxalic acid,Mollisols,0.3701891698578832,0.03126025637805703,0.18769032600132118
alanine,Mollisols,0.4686971422769224,0.11311342876516747,0.006397446830815414
glucose,Mollisols,0.5577178373026407,0.14695450882593888,0.0021923469189917525
salicylic acid,Mollisols,0.2615966354952579,0.007044716960747512,0.15829996477888447
sinapyl alcohol,Mollisols,0.2715709585354298,0.008917162371254632,0.9830707399071195
oxalic acid,Mollisols,NaN,0.007428395560865022,0.3148606654219429
alanine,Mollisols,0.48947545129830283,0.10770413508575755,0.006787947392402057
glucose,Mollisols,0.589990741779834,0.14348896041354223,0.002261338422607575
salicylic acid,Mollisols,0.25793052962212853,0.007188728470285988,0.15830004468548867
sinapyl alcohol,Mollisols,0.26612110485211904,0.008509777724649318,0.9830708144473442
oxalic acid,Mollisols,NaN,0.007731916138725745,0.3148614980645659
alanine,Mollisols,0.49685099609952155,0.1059661272326238,0.00692143369188962
glucose,Mollisols,0.5786728191838972,0.019802788569785495,0.015866022356200663
salicylic acid,Mollisols,0.4487030135568977,0.07508595180261661,0.08686697686663666
sinapyl alcohol,Mollisols,0.4668820238009337,0.07508499892231887,0.2928793119301754
oxalic acid,Mollisols,0.4168546076002658,0.07508174916758728,0.07920138886036689
alanine,Mollisols,0.49454407336669004,0.10101885712015583,0.007233651110587485
glucose,Mollisols,0.5967887533227847,0.09383244063118068,0.003459654181843783
salicylic acid,Mollisols,0.39788411181423167,0.00656245543281693,0.1582982953122019
sinapyl alcohol,Mollisols,0.41422626303241805,0.006624103377884074,0.9830692365534857
oxalic acid,Mollisols,0.3684526500610985,0.006580717822049225,0.3148428789218506
alanine,Mollisols,0.435045874100182,0.06877453996584446,0.010320352649686391
glucose,Mollisols,0.5075023940050704,0.06878106817588513,0.004605842454104841
salicylic acid,Mollisols,0.35719135035060723,0.03897359552863168,0.11061983653603114
sinapyl alcohol,Mollisols,0.369556994854466,0.03894769026767895,0.5516849336183143
oxalic acid,Mollisols,0.3336919014507681,0.03897035885446403,0.14855110278629474
alanine,Mollisols,0.4514884732060823,0.11020941927498304,0.0064956001495375705
glucose,Mollisols,0.5252917367301186,0.07996685616191701,0.003993853530986221
salicylic acid,Mollisols,0.364170656167528,0.014148687091141025,0.15823141155020373
sinapyl alcohol,Mollisols,0.37761781965798014,0.014148801531547121,0.983007177151357
oxalic acid,Mollisols,0.33944686239794564,0.014148680693567998,0.3141327535250008
alanine,Mollisols,0.4800641295854732,0.12603673794866577,0.005772678676941588
glucose,Mollisols,0.5641434170672393,0.07499149635719393,0.004317799231090016
salicylic acid,Mollisols,0.3786841532031962,0.008062387403319254,0.1582961003874979
sinapyl alcohol,Mollisols,0.39446000124169417,0.008073302755755477,0.9830671533859341
oxalic acid,Mollisols,0.353149680678871,0.008066208950698817,0.3148200744304433
alanine,Mollisols,0.4593744680010867,0.12802796431940752,0.005615838488219701
glucose,Mollisols,0.5391976195690905,0.11625219780296445,0.002756456983344519
salicylic acid,Mollisols,0.3751488056660385,0.015636061179868446,0.1581685676501107
sinapyl alcohol,Mollisols,0.39039490271097066,0.015636052918038275,0.9829487316734453
oxalic acid,Mollisols,0.3506823976458291,0.01563601132053176,0.3134549569527322
alanine,Mollisols,0.486198304863365,0.18323617673242476,0.003972461203326828
glucose,Mollisols,0.5737431788825503,0.11447283299251142,0.002831129646070098
salicylic acid,Mollisols,0.41879802603506056,0.020103380561404677,0.15712889427615656
sinapyl alcohol,Mollisols,0.4346242910439252,0.02010359363341868,0.9820809569498221
oxalic acid,Mollisols,0.3894002604268939,0.020102030277542725,0.2977135874995533
alanine,Mollisols,0.5093882936427561,0.13941831094466745,0.005289953422225809
glucose,Mollisols,0.5999147825706652,0.04065479784467625,0.008076601414603694
salicylic acid,Mollisols,0.4573791789751136,0.0406537884787552,0.11001543165397265
sinapyl alcohol,Mollisols,0.4759523519332779,0.04065505338885437,0.5439138901320818
oxalic acid,Mollisols,0.42449659775845394,0.0406546134430668,0.14739512897268917
alanine,Mollisols,0.5153752400986443,0.10614053251938621,0.006957526298109025
glucose,Mollisols,0.626636492773005,0.12505275728420714,0.0026189085668823333
salicylic acid,Mollisols,0.44126085490500655,0.008345060948179717,0.15829609140256518
sinapyl alcohol,Mollisols,0.4590947461074826,0.008353550532861284,0.9830671501776963
oxalic acid,Mollisols,0.4083336435893725,0.008347202932981596,0.31481993624769483
alanine,Mollisols,0.4758681777912197,0.09872470244464059,0.007333461145003903
glucose,Mollisols,0.5688351763879289,0.09418484961292618,0.003423285268526809
salicylic acid,Mollisols,0.38071718560423795,0.007654097933733369,0.15829671232776737
sinapyl alcohol,Mollisols,0.39579775246407184,0.0076707300459403814,0.9830677981183044
oxalic acid,Mollisols,0.35157323758049597,0.007658217295696868,0.3148260584095184
alanine,Mollisols,0.47696846649894864,0.09480216206701259,0.007647967145902959
glucose,Mollisols,0.5712166056197974,0.0948135990427542,0.0034004578632074347
salicylic acid,Mollisols,0.3638045176738016,0.00600308395927316,0.1582987153037445
sinapyl alcohol,Mollisols,0.38027127616118717,0.006104168576080037,0.9830696246495974
oxalic acid,Mollisols,0.33820623943843925,0.006030196855626089,0.31484730285408663
alanine,Mollisols,0.4584230028906495,0.07926375816433287,0.009036482821384535
glucose,Mollisols,0.5495619318966183,0.08690195385801638,0.0036719401468038614
salicylic acid,Mollisols,NaN,0.00936581481612328,0.15830007722352163
sinapyl alcohol,Mollisols,NaN,0.010658724078003399,0.9830708674603078
oxalic acid,Mollisols,NaN,0.009713553401981436,0.3148617025118717
alanine,Mollisols,0.4947704530407889,0.21394695361748517,0.0034171522001928767
glucose,Mollisols,0.5876742254019329,0.16590925981269722,0.0019584740851070893
salicylic acid,Mollisols,0.41939551187904034,0.015155309214313146,0.15820736991802628
sinapyl alcohol,Mollisols,0.4346753107647523,0.01515542236951699,0.9829841131734951
oxalic acid,Mollisols,0.39044600162429915,0.015155324040284723,0.31387876966092004
alanine,Mollisols,NaN,0.037286115462420985,0.01763958379731145
glucose,Mollisols,0.41105731638818627,0.03719439798584727,0.008072296446146503
salicylic acid,Mollisols,NaN,0.0030941082304481856,0.15830015698773953
sinapyl alcohol,Mollisols,NaN,0.003612067165410141,0.9830709556998056
oxalic acid,Mollisols,NaN,0.003196580875159026,0.3148624520891303
alanine,Mollisols,0.4261969283071818,0.054958042570810425,0.012854357790718763
glucose,Mollisols,0.4918681670072296,0.04103095502366527,0.007713895549344383
salicylic acid,Mollisols,0.32009109878732545,0.008965746197429644,0.15829239584489724
sinapyl alcohol,Mollisols,0.3306837171085185,0.008966919998931277,0.9830639233088828
oxalic acid,Mollisols,0.3000989710086297,0.008966062544635,0.31477985805095765
alanine,Mollisols,0.45862125248424646,0.08545197764137237,0.008423599421948983
glucose,Mollisols,0.5330423299467647,0.0393592707476811,0.008180010764911002
salicylic acid,Mollisols,0.3691625328210554,0.010902113288063217,0.1582846815397458
sinapyl alcohol,Mollisols,0.3837334716534033,0.010901599739541343,0.9830566554324488
oxalic acid,Mollisols,0.3458314838050844,0.010901520038152401,0.31469906094792616
alanine,Mollisols,0.44952634495961635,0.059483456081058185,0.012102521399459845
glucose,Mollisols,0.5258101262137531,0.0628824725781238,0.005093708276088263
salicylic acid,Mollisols,0.35059649653419633,0.011327412373964731,0.15828103573356866
sinapyl alcohol,Mollisols,0.3623950740076846,0.011327491171140248,0.9830531361566667
oxalic acid,Mollisols,0.3287628625537934,0.011327419962880536,0.31466134202963825
alanine,Mollisols,0.4965806103554916,0.12249210651590155,0.005982902712482346
glucose,Mollisols,0.58890390303364,0.07182593091183541,0.004535099313420973
salicylic acid,Mollisols,0.2618117437327742,0.007121915365846629,0.15830004663085534
sinapyl alcohol,Mollisols,0.2711329534342551,0.00816010955751866,0.9830708144636493
oxalic acid,Mollisols,NaN,0.0074220856222683386,0.3148615295331314
alanine,Mollisols,NaN,0.014212592977294347,0.04209950054032034
glucose,Mollisols,NaN,0.06977562148195099,0.004004143401115563
salicylic acid,Mollisols,NaN,0.003673814059073842,0.15829917915823205
sinapyl alcohol,Mollisols,NaN,0.0036741896192362252,0.9830701663503356
oxalic acid,Mollisols,NaN,0.0036726522144069846,0.31485153837404956
alanine,Mollisols,0.4721606072856601,0.3717399091769005,0.001931666275243947
glucose,Mollisols,0.5339608209213706,0.08519322579099815,0.0037589357225378322
salicylic acid,Mollisols,0.38734877425009184,0.057455645651271106,0.09461092101291899
sinapyl alcohol,Mollisols,0.4024061343793446,0.057455051661293284,0.37737110902985993
oxalic acid,Mollisols,0.3612758363034254,0.057454681969757906,0.10182537744270823
alanine,Mollisols,0.4439133666506301,0.07425254686168431,0.009535624857763821
glucose,Mollisols,0.5051645601658565,0.015718369333441146,0.015947359160851524
salicylic acid,Mollisols,0.3734566748289274,0.03767530024456697,0.11222871203801389
sinapyl alcohol,Mollisols,0.3894937672442845,0.03767426242475456,0.5706633751240554
oxalic acid,Mollisols,0.3459744952329595,0.037673495056885886,0.1533738753126526
alanine,Mollisols,0.4447497101493403,0.09780517327856234,0.007253254639988105
glucose,Mollisols,0.4976845668965306,0.020749610511422677,0.01551091741405586
salicylic acid,Mollisols,0.33289031387011087,0.009448124102383583,0.1582911049086207
sinapyl alcohol,Mollisols,0.3440397044021408,0.009449395464847597,0.9830626950766129
oxalic acid,Mollisols,0.31054543646630384,0.009448402401275122,0.31476641916349796
alanine,Mollisols,0.4506618051383726,0.06720286569988602,0.010625895709747054
glucose,Mollisols,0.5379828072064058,0.07049423548596187,0.004502679858779008
salicylic acid,Mollisols,0.2629710071730368,0.005283039945513891,0.15829988031329528
sinapyl alcohol,Mollisols,0.27197995442269507,0.005826131509847785,0.9830707002304765
oxalic acid,Mollisols,NaN,0.00543350781985822,0.31485955134140536
alanine,Mollisols,0.4645523374885996,0.07400808084206019,0.00966534986609662
glucose,Mollisols,0.5592934866359245,0.09650102233491797,0.003317471273929073
salicylic acid,Mollisols,NaN,0.009669451402175403,0.15830010664805205
sinapyl alcohol,Mollisols,NaN,0.011067323921166074,0.983070891094045
oxalic acid,Mollisols,NaN,0.010064436161864363,0.3148620322455553
alanine,Mollisols,0.5280951527479294,0.06167307075519371,0.012080949462186592
glucose,Mollisols,0.6473852664647423,0.12687619215186727,0.0025981101901958108
salicylic acid,Mollisols,0.49324235905721237,0.025560836213665512,0.14052314663112297
sinapyl alcohol,Mollisols,0.5151429991163151,0.025559788705224636,0.8677210320920627
oxalic acid,Mollisols,0.4557393898272828,0.025559864976448642,0.23725648649116932
alanine,Mollisols,0.5316618794665114,0.0946497547088721,0.007872716616001477
glucose,Mollisols,0.6439472691609063,0.06946375219240708,0.004750789699740796
salicylic acid,Mollisols,0.5012830521554434,0.0563427770728319,0.09628827435702006
sinapyl alcohol,Mollisols,0.5224655763847251,0.05634414433738758,0.3947969808261359
oxalic acid,Mollisols,0.4641102312468982,0.05634243798631704,0.10708474699012854
alanine,Mollisols,0.4752000349631026,0.4546203993037089,0.00158352611160297
glucose,Mollisols,0.5388294251776694,0.1864538666028951,0.001690104116034403
salicylic acid,Mollisols,0.3845604355615937,0.07326204243759435,0.08715136518890423
sinapyl alcohol,Mollisols,0.39846733293168735,0.07326478134837602,0.29604983853460937
oxalic acid,Mollisols,0.36003982917387056,0.0732603106142414,0.0798665219628229
alanine,Mollisols,NaN,0.026660054831610956,0.023871050490571612
glucose,Mollisols,NaN,0.02531101765223725,0.011553703635486905
salicylic acid,Mollisols,NaN,0.004369563094574495,0.1582998515345927
sinapyl alcohol,Mollisols,NaN,0.004869784973370606,0.9830707111924437
oxalic acid,Mollisols,NaN,0.004430525646062751,0.31485903253552594
alanine,Mollisols,0.42614879845329323,0.054648696917494674,0.01292698449252232
glucose,Mollisols,0.47520771963273883,0.017783249381325514,0.015918368856876846
salicylic acid,Mollisols,0.3427974936113588,0.040014663599573376,0.10895630400834669
sinapyl alcohol,Mollisols,0.3551565167062317,0.04001390463254183,0.5345129195671943
oxalic acid,Mollisols,0.3211018441863715,0.04001119447695151,0.14381620286044072
alanine,Ultisols,0.42098456819550134,0.07598254917744662,0.030408790890881717
glucose,Ultisols,0.4774937414314143,0.02417917755368546,0.043454301538555444
salicylic acid,Ultisols,NaN,0.006434533709677151,0.17752972333300035
sinapyl alcohol,Ultisols,NaN,0.006371730793958686,0.10324773834727174
oxalic acid,Ultisols,NaN,0.006401587372793099,0.1420112624619919
alanine,Ultisols,0.41973826716206064,0.1630870716663047,0.014285837542200985
glucose,Ultisols,0.4722636481937824,0.09851578857283252,0.01061076956288936
salicylic acid,Ultisols,0.31513710852097043,0.024588758636780565,0.14218548373437767
sinapyl alcohol,Ultisols,0.325910696935395,0.024587896545979274,0.09152822149329576
oxalic acid,Ultisols,0.29700417034520965,0.024587719823473665,0.10442092485693114
alanine,Ultisols,0.4700395866089425,0.1467251256323765,0.016473629033756355
glucose,Ultisols,0.5446656969036742,0.05608116055535048,0.019257099560440933
salicylic acid,Ultisols,0.327796402368311,0.00516713276308871,0.17752744618525804
sinapyl alcohol,Ultisols,0.3397184148793424,0.005143813346103594,0.1032476548245495
oxalic acid,Ultisols,0.3073078270897446,0.005154804239557305,0.14200635429724165
alanine,Ultisols,0.4915875216619594,0.11567793829762293,0.021074299638984294
glucose,Ultisols,0.576924219383731,0.022329275541875755,0.04914950015238773
salicylic acid,Ultisols,0.4380630836652136,0.03964821037522892,0.09060758792483027
sinapyl alcohol,Ultisols,0.4570265450905041,0.03964885722032732,0.058152593436888125
oxalic acid,Ultisols,0.4050653118204982,0.03964514996657613,0.06675646503108326
alanine,Ultisols,0.4743883364632773,0.10542940895704427,0.022891093614200296
glucose,Ultisols,0.55585137713359,0.030738793118657282,0.03526301633551651
salicylic acid,Ultisols,0.41287458347761274,0.030283423782777843,0.11814887234641529
sinapyl alcohol,Ultisols,0.4306897197328462,0.030283711115954584,0.07760841015877666
oxalic acid,Ultisols,0.3819628854723288,0.030281716821019176,0.08690185446443545
alanine,Ultisols,0.4917863888877301,0.13311572063986069,0.018294487266199668
glucose,Ultisols,0.5770570386818679,0.02662879873331491,0.04107862771884418
salicylic acid,Ultisols,0.4362105184927836,0.03552213946365887,0.1012490533721326
sinapyl alcohol,Ultisols,0.4552759065664508,0.03552275863399428,0.06498473920478708
oxalic acid,Ultisols,0.4033795031356934,0.03552221663599017,0.07451190051252454
alanine,Ultisols,0.4243417567100224,0.08903287782611495,0.02600293715654945
glucose,Ultisols,0.49033680911424743,0.09333898981299771,0.011246289906238762
salicylic acid,Ultisols,0.3288928057943912,0.01586332664987406,0.1770082992741048
sinapyl alcohol,Ultisols,0.3403567071088733,0.015863327351639422,0.10322970588059398
oxalic acid,Ultisols,0.30810085584826685,0.01586317161755951,0.1408325325482151
alanine,Ultisols,0.45809362947503185,0.06559762491697027,0.03663194250162898
glucose,Ultisols,0.5482184043337743,0.06979533882965526,0.015344150448562488
salicylic acid,Ultisols,0.40002762194451125,0.03125941698669218,0.11382350237466288
sinapyl alcohol,Ultisols,0.41734802753768996,0.03125948097079211,0.073223130991083
oxalic acid,Ultisols,0.3702207366078699,0.03126032538448735,0.08373268301409004
alanine,Ultisols,0.46869511048346196,0.11311339351255408,0.02139416384031186
glucose,Ultisols,0.5577175375910524,0.14695450599293575,0.007328389899946691
salicylic acid,Ultisols,0.2615562789006333,0.0071522861446499325,0.17752912267185295
sinapyl alcohol,Ultisols,0.26960023232837604,0.007049632625098289,0.10324771335575084
oxalic acid,Ultisols,NaN,0.007098255000081237,0.14201006543412314
alanine,Ultisols,0.48947367093620264,0.10770410864010407,0.022697760862232973
glucose,Ultisols,0.5898125223067057,0.14349014744072014,0.007570367024561967
salicylic acid,Ultisols,0.25793052617881046,0.007356993124442034,0.1775293568276854
sinapyl alcohol,Ultisols,0.2661211584660634,0.007196756821850614,0.10324772169941104
oxalic acid,Ultisols,NaN,0.007273538734031556,0.14201057828025074
alanine,Ultisols,0.4967198734046106,0.10596737269222777,0.023166440831516182
glucose,Ultisols,0.5786668634630223,0.019802783762091426,0.05402825454983764
salicylic acid,Ultisols,0.4485110050019392,0.07508625994581676,0.04795039339443809
sinapyl alcohol,Ultisols,0.46681161919500624,0.07508487909316171,0.03075182458250615
oxalic acid,Ultisols,0.4166965229575329,0.0750839575040275,0.03532545829691289
alanine,Ultisols,0.49454119613368286,0.10101891229860284,0.02419869883838609
glucose,Ultisols,0.5966617331938536,0.09383248724479809,0.011590418117681403
salicylic acid,Ultisols,0.3978364177958325,0.006568529963127007,0.177524228999342
sinapyl alcohol,Ultisols,0.4147160295558975,0.006562786955612663,0.10324754595110716
oxalic acid,Ultisols,0.368558939676182,0.006565547875697618,0.1419991198706997
alanine,Ultisols,0.4350424491347814,0.06877679478107368,0.03448025717459902
glucose,Ultisols,0.5073563198806192,0.06878291406671944,0.015410235262336652
salicylic acid,Ultisols,0.35718146291897435,0.03897357057358748,0.09019167429389272
sinapyl alcohol,Ultisols,0.3690046183073127,0.03894664355271812,0.05797723067878474
oxalic acid,Ultisols,0.33344802124725625,0.03897409029085598,0.06624678949702209
alanine,Ultisols,0.45139056375368775,0.11021367595330131,0.02171208808535678
glucose,Ultisols,0.5252911384153658,0.07996686984505576,0.013358659754560347
salicylic acid,Ultisols,0.3641265149002286,0.014148693809280473,0.1773283743484006
sinapyl alcohol,Ultisols,0.37746074924050216,0.014148679094601258,0.10324068717791512
oxalic acid,Ultisols,0.3395777315809286,0.01414866025249174,0.1415640777112544
alanine,Ultisols,0.4800630546660582,0.1260367546092502,0.019301235787355913
glucose,Ultisols,0.5640085144445504,0.07499353642799256,0.014450442294600319
salicylic acid,Ultisols,0.3804814588049861,0.00806346580557511,0.17751779407320736
sinapyl alcohol,Ultisols,0.39500368085726656,0.00806243493897606,0.10324731467010527
oxalic acid,Ultisols,0.3533471034722403,0.008062912196114266,0.1419850954656631
alanine,Ultisols,0.4595209970991372,0.12805346800345066,0.01879747201464397
glucose,Ultisols,0.5391972662419409,0.11625413931276296,0.00921853803515344
salicylic acid,Ultisols,0.3762275247461312,0.015636060884512713,0.17714497939925974
sinapyl alcohol,Ultisols,0.39006594826681595,0.015636056695317185,0.10323424293798839
oxalic acid,Ultisols,0.35075290723087427,0.015636012398173305,0.1411521039663956
alanine,Ultisols,0.4863599066083185,0.18326606941618734,0.013297090795033746
glucose,Ultisols,0.5737426806620196,0.11447480511630846,0.00946920302507615
salicylic acid,Ultisols,0.4187751874335577,0.020103393920519637,0.1742366811265207
sinapyl alcohol,Ultisols,0.4349932252481008,0.020103381831461528,0.103139310606016
oxalic acid,Ultisols,0.3894720095305429,0.020103319569600132,0.13291062579164162
alanine,Ultisols,0.5093866862882541,0.13941828522949612,0.017700848667054767
glucose,Ultisols,0.5994849640504671,0.04065316108478418,0.027073432864399047
salicylic acid,Ultisols,0.45736450946021157,0.040654882360373484,0.08918814777555294
sinapyl alcohol,Ultisols,0.4763640690397287,0.040653680861681196,0.05716678786460813
oxalic acid,Ultisols,0.42453601493078186,0.0406520724130604,0.0658077117345993
alanine,Ultisols,0.5153724791487655,0.10614372954084661,0.02328663482527214
glucose,Ultisols,0.6265208256833519,0.1250528035666458,0.008774655210932836
salicylic acid,Ultisols,0.4411633562475894,0.00834572204730251,0.17751776741068173
sinapyl alcohol,Ultisols,0.45981540648576313,0.008345091388654635,0.10324731448342714
