gdistr,ontology,response,Vmax,K
19.0,Sugars,positive,0.04099349896955588,0.00019650121945526643
1.0,Organic acids,positive,0.002157552577345047,8.698982886837283e-5
63.0,Amino acids,positive,0.135925812372738,0.0002351556608679433
1.0,Fatty acids,positive,0.002157552577345047,5.382498323925861e-5
2.0,Nucleotides,positive,0.004315105154690094,0.00010205269709048946
0.0,Auxins,positive,0.0,5.258149862052041e-5
58.0,Sugars,negative,0.14931137866181926,0.0003165219755917667
14.0,Organic acids,negative,0.036040677608025345,0.00012409898551500966
99.0,Amino acids,negative,0.25485907737103636,0.0002672174035643058
12.0,Fatty acids,negative,0.03089200937830744,7.316210113903205e-5
13.0,Nucleotides,negative,0.03346634349316639,0.00013606463626590124
2.0,Auxins,negative,0.005148668229717906,5.628645758883719e-5
26.0,Sugars,undefined,0.05610175011991424,0.00017523024360833174
2.0,Organic acids,undefined,0.004315519239993403,8.747834996845178e-5
72.0,Amino acids,undefined,0.1553586926397625,0.0001724840053680356
28.0,Fatty acids,undefined,0.06041726935990765,8.936062913079607e-5
5.0,Nucleotides,undefined,0.010788798099983508,0.0001056091535389687
0.0,Auxins,undefined,0.0,5.258109283959356e-5
40.0,Sugars,positive,0.020376477253450098,0.0001535055414344873
72.0,Organic acids,positive,0.036677659056210184,0.00015434356952214714
226.0,Amino acids,positive,0.11512709648199304,0.00021972200474618047
38.0,Fatty acids,positive,0.019357653390777593,7.468309512493824e-5
5.0,Nucleotides,positive,0.0025470596566812623,9.88683328909912e-5
2.0,Auxins,positive,0.001018823862672505,5.383251411940773e-5
66.0,Sugars,positive,0.031925483468967744,0.00018579995555594692
65.0,Organic acids,positive,0.03144176402246824,0.00014749730381787528
242.0,Amino acids,positive,0.11706010605288175,0.00023127764696685043
31.0,Fatty acids,positive,0.01499530284148485,7.042095282761903e-5
6.0,Nucleotides,positive,0.0029023166789970685,9.998781587407552e-5
3.0,Auxins,positive,0.0014511583394985342,5.446097928136149e-5
35.0,Sugars,positive,0.024416238359293685,0.00016096107499967348
47.0,Organic acids,positive,0.032787520082480086,0.0001442506787967484
192.0,Amino acids,positive,0.13394050757098247,0.00023847797828058337
17.0,Fatty acids,positive,0.011859315774514073,6.510313762195824e-5
1.0,Nucleotides,positive,0.0006976068102655337,9.477362499080743e-5
3.0,Auxins,positive,0.002092820430796601,5.5050122274036257e-5
165.0,Sugars,positive,0.13631854687130204,0.00046703423472600986
27.0,Organic acids,positive,0.022306671306213062,0.00013057680360133758
159.0,Amino acids,positive,0.1313615088032547,0.00025981191723890076
15.0,Fatty acids,positive,0.012392595170118365,6.773779681339922e-5
11.0,Nucleotides,positive,0.009087903124753468,0.00011503339982080436
2.0,Auxins,positive,0.001652346022682449,5.480561821240947e-5
16.0,Sugars,positive,0.07850414972578199,0.00024077529950996003
7.0,Organic acids,positive,0.03434556550502962,0.00013092793364471121
15.0,Amino acids,positive,0.07359764036792062,0.00013294551624146536
14.0,Fatty acids,positive,0.06869113101005923,0.00011060640170352537
4.0,Nucleotides,positive,0.019626037431445496,0.00012400345728555903
1.0,Auxins,positive,0.004906509357861374,5.690374494028922e-5
61.0,Sugars,undefined,0.15274477170030515,0.00024239537407488385
1.0,Organic acids,undefined,0.0025040126508246744,8.491157723859061e-5
46.0,Amino acids,undefined,0.11518458193793502,0.00011928203839799301
10.0,Fatty acids,undefined,0.025040126508246746,6.263767706612787e-5
4.0,Nucleotides,undefined,0.010016050603298698,0.00010145797794910202
0.0,Auxins,undefined,0.0,5.258086492635231e-5
67.0,Sugars,undefined,0.13422894604257452,0.00023613581806872173
1.0,Organic acids,undefined,0.002003417105113052,8.467451482201196e-5
49.0,Amino acids,undefined,0.09816743815053956,0.00011485812939745367
3.0,Fatty acids,undefined,0.006010251315339156,5.434315322515973e-5
4.0,Nucleotides,undefined,0.008013668420452208,0.0001003931692529054
0.0,Auxins,undefined,0.0,5.258092280219275e-5
23.0,Sugars,positive,0.016519796346333018,0.000126321376640713
92.0,Organic acids,positive,0.06607918538533207,0.00015452089541069378
134.0,Amino acids,positive,0.09624577001776628,0.00013404608129461695
12.0,Fatty acids,positive,0.008619024180695488,5.718128176864463e-5
5.0,Nucleotides,positive,0.0035912600752897863,9.767138097353327e-5
3.0,Auxins,positive,0.002154756045173872,5.405395306031541e-5
142.0,Sugars,positive,0.08819189713846369,0.0002739963639081602
9.0,Organic acids,positive,0.005589627283423753,9.170992710933541e-5
154.0,Amino acids,positive,0.09564473351636203,0.00016508394227585208
6.0,Fatty acids,positive,0.00372641818894917,5.496936242508735e-5
1.0,Nucleotides,positive,0.0006210696981581949,9.438705730772222e-5
2.0,Auxins,positive,0.0012421393963163898,5.379119039158902e-5
9.0,Sugars,undefined,0.0893309094358486,0.0002419988221615844
5.0,Organic acids,undefined,0.04962828301991588,0.00014437761942069654
9.0,Amino acids,undefined,0.0893309094358486,0.00013854057661684085
1.0,Fatty acids,undefined,0.009925656603983176,5.900033630908131e-5
1.0,Nucleotides,undefined,0.009925656603983176,0.00010707496748102
1.0,Auxins,undefined,0.009925656603983176,6.03351872024198e-5
47.0,Sugars,negative,0.09176439393239025,0.0002228729107660504
8.0,Organic acids,negative,0.015619471307640895,9.927140797131171e-5
66.0,Amino acids,negative,0.12886063828803732,0.0001551069114122588
23.0,Fatty acids,negative,0.044905980009467564,8.01877473207397e-5
5.0,Nucleotides,negative,0.009762169567275554,0.00010466338274785997
0.0,Auxins,negative,0.0,5.258110770864002e-5
39.0,Sugars,negative,0.07092225468201376,0.00018004869352433056
4.0,Organic acids,negative,0.0072740774032834625,8.933337764704567e-5
68.0,Amino acids,negative,0.12365931585581887,0.000135457499476811
17.0,Fatty acids,negative,0.030914828963954716,6.781374465904476e-5
8.0,Nucleotides,negative,0.014548154806566925,0.00010731593357374652
0.0,Auxins,negative,0.0,5.2580978232335686e-5
55.0,Sugars,negative,0.12723649929832268,0.00026297207748096906
7.0,Organic acids,negative,0.01619373627433198,9.926998399769711e-5
61.0,Amino acids,negative,0.14111684467632152,0.00016047701636478902
12.0,Fatty acids,negative,0.02776069075599768,6.857071630611963e-5
7.0,Nucleotides,negative,0.01619373627433198,0.00011147226936853143
1.0,Auxins,negative,0.00231339089633314,5.4042096042267626e-5
36.0,Sugars,undefined,0.10695654048274436,0.00021552613640518645
6.0,Organic acids,undefined,0.017826090080457394,9.795589594696081e-5
60.0,Amino acids,undefined,0.17826090080457394,0.00016595807219307738
5.0,Fatty acids,undefined,0.014855075067047828,5.907803322296985e-5
3.0,Nucleotides,undefined,0.008913045040228697,0.00010165461336472231
1.0,Auxins,undefined,0.002971015013409565,5.414715098288978e-5
4.0,Sugars,undefined,0.03179269493876696,0.00012554028691469306
4.0,Organic acids,undefined,0.03179269493876696,0.00010032959175494925
15.0,Amino acids,undefined,0.11922260602037615,0.00010581461075021891
3.0,Fatty acids,undefined,0.023844521204075222,5.9413473289893546e-5
0.0,Nucleotides,undefined,0.0,9.331325492100417e-5
0.0,Auxins,undefined,0.0,5.258066228340334e-5
49.0,Sugars,undefined,0.10047759554310864,0.00021618775126766083
3.0,Organic acids,undefined,0.0061516895230474666,8.858846037357603e-5
41.0,Amino acids,undefined,0.08407309014831539,0.000113276332464733
19.0,Fatty acids,undefined,0.038960700312633954,7.293222037752236e-5
3.0,Nucleotides,undefined,0.0061516895230474666,9.947777082280806e-5
1.0,Auxins,undefined,0.002050563174349156,5.373827794322914e-5
171.0,Sugars,positive,0.09741897286747152,0.0003053895443205801
13.0,Organic acids,positive,0.0074061207443107,9.533515063080967e-5
180.0,Amino acids,positive,0.10254628722891737,0.00018089943857304584
9.0,Fatty acids,positive,0.005127314361445869,5.665891292644542e-5
6.0,Nucleotides,positive,0.0034182095742972462,9.96546620584581e-5
2.0,Auxins,positive,0.0011394031914324155,5.377150315626911e-5
159.0,Sugars,positive,0.09753414904346724,0.00029286486740337904
9.0,Organic acids,positive,0.005520800889252864,9.164271905282913e-5
159.0,Amino acids,positive,0.09753414904346724,0.0001676605994957589
13.0,Fatty acids,positive,0.007974490173365248,5.905372230116386e-5
4.0,Nucleotides,positive,0.0024536892841123844,9.757696723044399e-5
0.0,Auxins,positive,0.0,5.258132660266436e-5
224.0,Sugars,positive,0.10412257962665378,0.0003660991401882914
5.0,Organic acids,positive,0.0023241647238092357,8.777406929981529e-5
203.0,Amino acids,positive,0.09436108778665499,0.00019551798370085415
11.0,Fatty acids,positive,0.00511316239238032,5.7782115341006755e-5
6.0,Nucleotides,positive,0.0027889976685710836,9.961341489837095e-5
1.0,Auxins,positive,0.0004648329447618471,5.317201700071567e-5
71.0,Sugars,undefined,0.14959023984523073,0.00023278332838722564
6.0,Organic acids,undefined,0.012641428719315274,9.179713858404847e-5
94.0,Amino acids,undefined,0.19804904993593928,0.00015715197608908845
5.0,Fatty acids,undefined,0.010534523932762727,5.590242238675922e-5
7.0,Nucleotides,undefined,0.014748333505867817,0.00010470890820528446
0.0,Auxins,undefined,0.0,5.258082657193479e-5
75.0,Sugars,negative,0.10026085144060107,0.00033002791460387646
2.0,Organic acids,negative,0.002673622705082695,8.791558482477593e-5
76.0,Amino acids,negative,0.1015976627931424,0.0001906613288339801
16.0,Fatty acids,negative,0.02138898164066156,7.5263385827354e-5
2.0,Nucleotides,negative,0.002673622705082695,9.872218528318431e-5
1.0,Auxins,negative,0.0013368113525413475,5.410439706412166e-5
51.0,Sugars,positive,0.05676555850417918,0.00023507204517046458
11.0,Organic acids,positive,0.012243551834234723,0.00010569500640310298
69.0,Amino acids,positive,0.07680046150565419,0.0001610629077617175
61.0,Fatty acids,positive,0.0678960601716653,0.00012895255042990624
10.0,Nucleotides,positive,0.011130501667486112,0.00011638028553661045
0.0,Auxins,positive,0.0,5.258174074321618e-5
33.0,Sugars,positive,0.04204385363427599,0.00018411620127737035
9.0,Organic acids,positive,0.011466505536620725,0.00010056476168713088
74.0,Amino acids,positive,0.09428015663443708,0.00016240279951716842
61.0,Fatty acids,positive,0.07771742641487381,0.00012466769914137537
11.0,Nucleotides,positive,0.014014617878091997,0.00011728478538144991
0.0,Auxins,positive,0.0,5.258149222795348e-5
35.0,Sugars,undefined,0.07176835178905229,0.0001792166254517409
6.0,Organic acids,undefined,0.012303146020980394,9.340590227973861e-5
33.0,Amino acids,undefined,0.06766730311539215,0.00010013746079607389
17.0,Fatty acids,undefined,0.03485891372611111,6.948781016266103e-5
3.0,Nucleotides,undefined,0.006151573010490197,9.909997348632024e-5
0.0,Auxins,undefined,0.0,5.258097322001188e-5
32.0,Sugars,undefined,0.06241950933264645,0.00016697656820311403
1.0,Organic acids,undefined,0.0019506096666452016,8.467146619143854e-5
57.0,Amino acids,undefined,0.11118475099877649,0.00012376741365038277
15.0,Fatty acids,undefined,0.029259144999678022,6.601948567337881e-5
5.0,Nucleotides,undefined,0.009753048333226006,0.00010214620138062235
0.0,Auxins,undefined,0.0,5.258094429801302e-5
176.0,Sugars,negative,0.3718486135309335,0.0009939860780149256
6.0,Organic acids,negative,0.012676657279463644,0.00010734625101154855
35.0,Amino acids,negative,0.07394716746353791,0.00016085039312857563
2.0,Fatty acids,negative,0.004225552426487881,5.641817277975252e-5
2.0,Nucleotides,negative,0.004225552426487881,0.00010238880646517168
2.0,Auxins,negative,0.004225552426487881,5.7694603611282986e-5
33.0,Sugars,positive,0.0912110726826419,0.0003047811524183108
22.0,Organic acids,positive,0.060807381788427935,0.00019008320658345153
164.0,Amino acids,positive,0.4532913915137355,0.0006308236120318377
12.0,Fatty acids,positive,0.03316766279368796,8.752447592813311e-5
19.0,Nucleotides,positive,0.052515466090005944,0.00019706613006721495
2.0,Auxins,positive,0.005527943798947993,5.873434355520453e-5
59.0,Sugars,positive,0.0208807624036906,0.0001700294707401253
143.0,Organic acids,positive,0.05060930548691112,0.0002110381287526357
292.0,Amino acids,positive,0.10334207833690941,0.00024666819081194943
26.0,Fatty acids,positive,0.009201691906711112,6.581025277560533e-5
2.0,Nucleotides,positive,0.0007078224543623931,9.53218936792889e-5
2.0,Auxins,positive,0.0007078224543623931,5.371250101615501e-5
62.0,Sugars,undefined,0.026340560224605,0.00016288929453509062
28.0,Organic acids,undefined,0.011895736875628065,0.0001043601279381859
318.0,Amino acids,undefined,0.13510158308749018,0.00023250432770277358
14.0,Fatty acids,undefined,0.005947868437814033,5.7994928719802845e-5
2.0,Nucleotides,undefined,0.0008496954911162904,9.501796775180032e-5
3.0,Auxins,undefined,0.0012745432366744356,5.402172564468254e-5
78.0,Sugars,negative,0.08938166133330734,0.00027142386071879373
3.0,Organic acids,negative,0.0034377562051272057,8.824502117761903e-5
74.0,Amino acids,negative,0.08479798639313772,0.00015047007696190935
12.0,Fatty acids,negative,0.013751024820508823,6.415554645730497e-5
3.0,Nucleotides,negative,0.0034377562051272057,9.909211601536578e-5
0.0,Auxins,negative,0.0,5.25814873004211e-5
107.0,Sugars,negative,0.11018034600103699,0.0003081919225586309
2.0,Organic acids,negative,0.002059445719645551,8.614866628544987e-5
81.0,Amino acids,negative,0.08340755164564484,0.0001480273616310906
18.0,Fatty acids,negative,0.01853501147680996,6.840465203058582e-5
1.0,Nucleotides,negative,0.0010297228598227755,9.502532507273169e-5
1.0,Auxins,negative,0.0010297228598227755,5.3545388918753156e-5
11.0,Sugars,positive,0.09625879069216893,0.0001597738387153098
2.0,Organic acids,positive,0.01750159830766708,9.120546390118429e-5
5.0,Amino acids,positive,0.0437539957691677,7.404529086402099e-5
3.0,Fatty acids,positive,0.026252397461500616,5.894161489228972e-5
1.0,Nucleotides,positive,0.00875079915383354,9.786451514440716e-5
0.0,Auxins,positive,0.0,5.258060907998745e-5
5.0,Sugars,positive,0.04934437197116984,0.00013022337018344808
4.0,Organic acids,positive,0.039475497576935865,9.987741066009677e-5
7.0,Amino acids,positive,0.06908212075963778,8.056067597160405e-5
3.0,Fatty acids,positive,0.029606623182701904,5.920363289675658e-5
0.0,Nucleotides,positive,0.0,9.331311389710914e-5
0.0,Auxins,positive,0.0,5.2580582818489116e-5
16.0,Sugars,undefined,0.2014124870797262,0.0001942293852445915
6.0,Organic acids,undefined,0.07552968265489732,0.00011014560138305755
44.0,Amino acids,undefined,0.553884339469247,0.00020161054123421168
2.0,Fatty acids,undefined,0.025176560884965775,5.6995539079496516e-5
5.0,Nucleotides,undefined,0.06294140221241444,0.00011862269532563358
1.0,Auxins,undefined,0.012588280442482887,5.543265537500134e-5
62.0,Sugars,positive,0.09583955266456402,0.000352758705641025
4.0,Organic acids,positive,0.006183196946100904,9.592525900067632e-5
66.0,Amino acids,positive,0.10202274961066493,0.0002111374467116084
14.0,Fatty acids,positive,0.02164118931135317,7.91957509554746e-5
4.0,Nucleotides,positive,0.006183196946100904,0.00010771641013680018
1.0,Auxins,positive,0.001545799236525226,5.460936638054511e-5
59.0,Sugars,positive,0.024709999982738227,0.00015895800745039054
136.0,Organic acids,positive,0.056958644028006766,0.00018437966781835352
189.0,Amino acids,positive,0.07915576265656823,0.0001603519636175432
23.0,Fatty acids,positive,0.009632711857677612,6.201525758409386e-5
9.0,Nucleotides,positive,0.0037693220312651535,0.00010083889472993406
3.0,Auxins,positive,0.0012564406770883847,5.3993935786433534e-5
